Team,YahooYahoo,OfficeFootballPoolOFP,Average
SF,19.2,13.2,16.2
NO,19.7,12.7,16.2
NYG,14.7,12.7,13.7
SEA,13.0,12.1,12.6
SD,7.7,16.7,12.2
DEN,6.5,7.1,6.8
PIT,3.0,10.5,6.7
TEN,6.8,4.8,5.8
NE,3.3,2.5,2.9
WAS,2.1,3.0,2.6
CHI,1.2,1.1,1.1
BUF,0.4,1.8,1.1
ATL,1.1,0.7,0.9
CIN,0.1,0.5,0.3
GB,0.2,0.1,0.2
HOU,0.2,0.1,0.2
MIN,0.1,0.1,0.1
DAL,0.2,0.0,0.1
NYJ,0.1,0.1,0.1
BAL,0.1,0.0,0.1
JAX,0.0,0.1,0.1
PHI,0.0,0.1,0.1
IND,0.1,0.0,0.0
DET,0.1,0.0,0.0
TB,0.0,0.0,0.0
ARI,0.0,0.0,0.0
CLE,0.0,0.0,0.0
KC,0.0,0.0,0.0
STL,0.0,0.0,0.0
CAR,0.0,0.0,0.0
MIA,0.0,0.0,0.0
OAK,0.0,0.0,0.0
