Team,YahooYahoo,OfficeFootballPoolOFP,Average
IND,39.1,36.2,37.7
LAR,13.9,21.7,17.8
TB,8.1,13.2,10.7
BUF,9.9,9.3,9.6
SEA,9.6,3.8,6.7
LAC,7.7,5.0,6.4
MIA,2.6,2.2,2.4
WSH,1.6,0.9,1.3
LV,0.8,1.4,1.1
DET,1.4,0.8,1.1
BAL,1.2,0.7,0.9
PHI,1.0,0.7,0.9
CIN,0.8,0.7,0.8
JAX,0.5,0.8,0.6
TEN,0.3,0.6,0.5
KC,0.5,0.3,0.4
NO,0.4,0.4,0.4
GB,0.1,0.3,0.2
MIN,0.2,0.2,0.2
ATL,0.0,0.2,0.1
DEN,0.1,0.1,0.1
CLE,0.1,0.1,0.1
CHI,0.1,0.1,0.1
NE,0.0,0.1,0.1
SF,0.0,0.1,0.1
CAR,0.0,0.1,0.1
PIT,0.1,0.0,0.1
NYG,0.0,0.1,0.1
DAL,0.0,0.0,0.0
HOU,0.0,0.0,0.0
ARI,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
