Team,YahooYahoo,OfficeFootballPoolOFP,Average
WAS,32.8,36.8,34.8
DET,20.7,16.4,18.6
JAX,11.2,19.5,15.4
SF,8.9,9.1,9.0
HOU,12.2,5.4,8.8
MIA,6.2,6.3,6.3
DAL,3.8,2.3,3.0
BUF,1.7,1.9,1.8
LAC,1.2,0.8,1.0
DEN,0.2,0.6,0.4
BAL,0.3,0.2,0.2
MIN,0.2,0.1,0.2
PIT,0.2,0.1,0.2
CLE,0.1,0.1,0.1
LAR,0.0,0.1,0.1
SEA,0.1,0.0,0.1
CIN,0.0,0.0,0.0
PHI,0.0,0.0,0.0
KC,0.0,0.0,0.0
ARI,0.0,0.0,0.0
GB,0.0,0.0,0.0
NYG,0.0,0.0,0.0
LV,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
CHI,0.0,0.0,0.0
CAR,0.0,0.0,0.0
TB,0.0,0.0,0.0
TEN,0.0,0.0,0.0
ATL,0.0,0.0,0.0
IND,0.0,0.0,0.0
NE,0.0,0.0,0.0
NO,0.0,0.0,0.0
