Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
IND,48.7,43.6,39.5,43.9
ARI,12.1,9.7,10.8,10.9
TB,9.8,8.5,8.7,9.0
CLE,6.4,9.4,10.0,8.6
LAC,6.5,10.2,8.3,8.3
PHI,3.1,4.1,4.8,4.0
NE,1.6,4.7,4.4,3.6
JAX,3.1,1.9,2.2,2.4
PIT,1.7,1.6,2.2,1.8
ATL,1.6,1.6,2.2,1.8
SF,2.0,1.0,2.0,1.6
SEA,0.9,1.4,1.4,1.2
TEN,0.9,0.5,0.9,0.8
BUF,0.1,0.3,0.8,0.4
NYG,0.1,0.2,0.2,0.2
MIA,0.2,0.1,0.3,0.2
LAR,0.2,0.1,0.2,0.2
BAL,0.1,0.3,0.1,0.2
NO,0.1,0.2,0.2,0.1
GB,0.2,0.1,0.2,0.1
MIN,0.1,0.1,0.2,0.1
KC,0.1,0.1,0.1,0.1
WAS,0.1,0.0,0.2,0.1
CHI,0.2,0.0,0.1,0.1
CIN,0.1,0.0,0.1,0.1
LV,0.1,0.0,0.1,0.1
NYJ,0.0,0.0,0.1,0.0
HOU,0.0,0.0,0.1,0.0
DEN,0.0,0.0,0.0,0.0
DAL,0.0,0.0,0.0,0.0
CAR,0.0,0.0,0.0,0.0
DET,0.0,0.0,0.0,0.0
