Team,YahooYahoo,OfficeFootballPoolOFP,Average
DAL,43.2,33.6,38.4
DEN,14.8,18.9,16.9
HOU,14.5,14.8,14.6
ATL,8.2,12.1,10.1
NO,7.8,7.2,7.5
NE,3.6,6.6,5.1
CIN,3.4,1.6,2.5
STL,1.1,1.8,1.5
TB,1.2,0.5,0.8
WAS,0.6,1.1,0.8
BUF,0.3,0.5,0.4
BAL,0.5,0.3,0.4
SF,0.2,0.4,0.3
GB,0.4,0.2,0.3
MIA,0.1,0.1,0.1
CAR,0.0,0.1,0.1
PIT,0.0,0.0,0.0
PHI,0.0,0.0,0.0
CHI,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
JAX,0.0,0.0,0.0
ARI,0.0,0.0,0.0
KC,0.0,0.0,0.0
CLE,0.0,0.0,0.0
DET,0.0,0.0,0.0
IND,0.0,0.0,0.0
OAK,0.0,0.0,0.0
SD,0.0,0.0,0.0
