Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
LAC,28.4,38.7,31.5,32.8
PHI,22.9,29.6,7.7,20.1
ATL,9.0,7.4,9.2,8.5
GB,12.0,2.8,3.1,6.0
SEA,4.5,5.3,7.6,5.8
NO,0.4,4.1,9.9,4.8
DAL,4.8,2.2,4.2,3.7
KC,4.5,1.9,4.6,3.7
TB,6.9,0.9,2.8,3.5
LV,0.7,1.3,3.6,1.9
BAL,0.0,0.5,3.6,1.4
NYJ,1.7,0.9,1.5,1.4
CIN,1.2,2.0,0.6,1.2
ARI,0.3,0.4,1.9,0.9
LAR,1.1,0.1,1.2,0.8
JAX,0.1,0.3,1.9,0.8
SF,0.4,0.2,0.8,0.5
TEN,0.1,0.2,0.9,0.4
DET,0.1,0.1,0.7,0.3
BUF,0.1,0.0,0.7,0.3
MIA,0.3,0.1,0.2,0.2
NE,0.2,0.1,0.2,0.2
NYG,0.0,0.1,0.3,0.2
DEN,0.1,0.0,0.3,0.1
IND,0.1,0.0,0.2,0.1
MIN,0.0,0.0,0.2,0.1
CHI,0.0,0.1,0.1,0.1
WAS,0.0,0.0,0.2,0.1
HOU,0.0,0.0,0.1,0.0
CLE,0.0,0.0,0.1,0.0
PIT,0.0,0.0,0.1,0.0
CAR,0.0,0.0,0.1,0.0
