Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
SF,40.2,42.9,32.2,38.4
BUF,16.3,20.7,21.2,19.4
SEA,18.7,15.2,18.3,17.4
GB,10.5,5.2,5.7,7.2
DAL,1.9,4.1,5.0,3.7
NYJ,4.9,2.3,3.5,3.6
CLE,2.8,2.9,3.6,3.1
CAR,1.7,2.7,2.4,2.3
PHI,0.6,1.4,1.7,1.2
IND,1.4,0.3,1.0,0.9
HOU,0.6,0.3,0.9,0.6
OAK,0.2,0.4,0.6,0.4
PIT,0.0,0.2,0.9,0.4
NE,0.2,0.3,0.6,0.4
KC,0.0,0.2,0.6,0.3
MIN,0.2,0.2,0.4,0.2
DET,0.2,0.1,0.4,0.2
MIA,0.2,0.1,0.2,0.2
DEN,0.1,0.1,0.3,0.1
JAX,0.1,0.1,0.1,0.1
ARI,0.0,0.0,0.2,0.1
NYG,0.0,0.1,0.0,0.0
WAS,0.0,0.0,0.1,0.0
CHI,0.0,0.0,0.1,0.0
TEN,0.0,0.0,0.1,0.0
LAC,0.0,0.0,0.1,0.0
BAL,0.0,0.0,0.0,0.0
TB,0.0,0.0,0.0,0.0
