Team,YahooYahoo,OfficeFootballPoolOFP,Average
DET,35.2,34.8,35.0
DEN,23.8,31.6,27.7
BAL,15.9,8.0,12.0
PIT,6.1,5.7,5.9
NYJ,3.7,5.1,4.4
KC,3.7,3.9,3.8
LAC,1.9,4.9,3.4
GB,3.5,2.0,2.8
MIN,3.1,1.0,2.0
HOU,1.0,1.1,1.1
MIA,0.3,0.8,0.6
ATL,0.2,0.2,0.2
SF,0.3,0.1,0.2
PHI,0.2,0.1,0.2
BUF,0.2,0.1,0.1
LAR,0.1,0.1,0.1
ARI,0.2,0.0,0.1
CIN,0.1,0.1,0.1
CHI,0.1,0.1,0.1
WSH,0.1,0.0,0.1
TB,0.1,0.0,0.0
DAL,0.1,0.0,0.0
NE,0.1,0.0,0.0
CAR,0.0,0.0,0.0
CLE,0.0,0.0,0.0
SEA,0.0,0.0,0.0
JAX,0.0,0.0,0.0
LV,0.0,0.0,0.0
NO,0.0,0.0,0.0
IND,0.0,0.0,0.0
TEN,0.0,0.0,0.0
NYG,0.0,0.0,0.0
