Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
ARI,28.6,19.8,12.2,20.2
KC,18.1,23.6,8.6,16.8
GB,15.5,8.1,14.1,12.6
CIN,6.6,6.6,6.4,6.5
IND,0.9,2.8,15.6,6.4
JAX,7.8,7.4,1.9,5.7
NYG,5.7,4.9,4.0,4.9
OAK,4.1,3.0,4.3,3.8
HOU,1.2,5.5,1.4,2.7
DAL,0.4,0.8,6.3,2.5
SD,0.1,0.4,6.8,2.4
CLE,1.2,5.1,0.7,2.3
NYJ,1.5,2.9,2.2,2.2
DET,0.8,2.7,1.1,1.5
MIN,2.1,0.9,0.5,1.2
PHI,0.6,0.7,2.0,1.1
TEN,0.0,0.7,2.4,1.0
NE,1.6,0.7,0.7,1.0
CAR,1.1,0.8,1.0,0.9
BAL,0.6,0.2,1.8,0.9
SEA,0.2,1.0,1.3,0.8
ATL,0.2,0.6,1.4,0.7
NO,0.4,0.0,1.2,0.5
TB,0.2,0.5,0.2,0.3
MIA,0.1,0.0,0.8,0.3
BUF,0.1,0.2,0.2,0.2
SF,0.0,0.0,0.5,0.2
PIT,0.2,0.1,0.1,0.1
WAS,0.1,0.1,0.1,0.1
STL,0.0,0.1,0.2,0.1
DEN,0.1,0.0,0.1,0.1
CHI,0.0,0.0,0.1,0.0
