Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
SEA,42.2,21.0,19.4,27.6
CAR,12.4,26.2,18.9,19.2
PHI,17.7,14.8,22.6,18.4
NE,7.4,6.3,4.4,6.0
ATL,2.1,6.9,2.1,3.7
KC,4.9,3.6,1.6,3.4
DET,0.1,0.8,8.9,3.3
JAX,2.9,4.9,2.0,3.3
OAK,2.8,2.8,1.7,2.4
DAL,1.3,1.8,2.8,2.0
NYJ,1.8,2.3,1.6,1.9
DEN,0.5,0.7,4.3,1.9
ARI,0.7,1.5,1.2,1.1
CHI,0.6,1.7,0.5,1.0
MIA,0.5,1.5,0.5,0.8
BAL,0.2,1.1,1.2,0.8
GB,0.3,0.1,1.7,0.7
TEN,0.2,0.4,1.4,0.7
MIN,0.5,0.7,0.3,0.5
HOU,0.1,0.1,0.9,0.4
SD,0.1,0.1,0.6,0.3
STL,0.3,0.1,0.3,0.2
IND,0.0,0.1,0.5,0.2
BUF,0.1,0.3,0.1,0.1
CIN,0.1,0.1,0.2,0.1
TB,0.1,0.1,0.1,0.1
WAS,0.0,0.0,0.2,0.1
SF,0.1,0.0,0.1,0.1
