Team,YahooYahoo,Average
NE,52.9,52.9
BAL,23.3,23.3
MIN,7.9,7.9
WAS,6.5,6.5
CIN,2.3,2.3
ARI,0.9,0.9
IND,0.9,0.9
SD,0.9,0.9
SF,0.6,0.6
PHI,0.6,0.6
PIT,0.6,0.6
NO,0.5,0.5
HOU,0.4,0.4
GB,0.4,0.4
KC,0.3,0.3
NYG,0.2,0.2
MIA,0.1,0.1
NYJ,0.1,0.1
OAK,0.1,0.1
DAL,0.1,0.1
CHI,0.1,0.1
DET,0.1,0.1
TB,0.1,0.1
TEN,0.0,0.0
STL,0.0,0.0
SEA,0.0,0.0
JAX,0.0,0.0
ATL,0.0,0.0
BUF,0.0,0.0
CAR,0.0,0.0
DEN,0.0,0.0
CLE,0.0,0.0
