Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
TEN,22.3,23.9,8.5,18.2
IND,26.7,16.7,10.2,17.9
DAL,9.2,14.5,14.6,12.8
NE,10.5,8.9,14.3,11.2
LAR,11.6,6.4,11.1,9.7
CLE,9.2,13.7,4.4,9.1
CHI,3.3,1.8,4.5,3.2
DEN,0.8,2.4,5.4,2.9
PHI,0.1,1.7,4.5,2.1
MIA,1.5,2.5,1.1,1.7
MIN,1.5,1.0,1.7,1.4
CIN,0.1,0.6,3.3,1.3
SF,0.1,0.5,2.6,1.1
GB,0.3,0.6,2.1,1.0
WAS,0.4,0.4,1.5,0.8
JAX,0.1,0.3,1.7,0.7
OAK,0.1,0.9,1.1,0.7
LAC,0.8,0.2,0.8,0.6
NO,0.3,0.3,0.9,0.5
SEA,0.1,0.4,1.0,0.5
CAR,0.0,0.4,1.1,0.5
NYG,0.0,0.1,1.2,0.5
KC,0.3,0.1,0.8,0.4
ATL,0.4,0.2,0.2,0.3
ARI,0.0,0.3,0.2,0.2
TB,0.0,0.1,0.4,0.2
NYJ,0.1,0.3,0.1,0.1
HOU,0.2,0.1,0.1,0.1
BAL,0.1,0.0,0.3,0.1
DET,0.0,0.2,0.1,0.1
BUF,0.1,0.2,0.0,0.1
PIT,0.1,0.0,0.2,0.1
