Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
MIA,47.4,43.3,40.7,43.8
DAL,11.7,16.1,13.0,13.6
GB,9.5,11.0,11.0,10.5
SEA,5.5,8.7,9.4,7.9
ARI,11.8,4.7,6.3,7.6
CAR,2.8,6.5,6.5,5.2
TB,1.9,2.7,3.2,2.6
NYG,3.1,2.2,2.5,2.6
PIT,2.4,1.6,2.2,2.0
BAL,0.8,0.5,1.3,0.8
HOU,0.6,0.4,0.4,0.5
OAK,0.5,0.2,0.4,0.4
IND,0.4,0.3,0.5,0.4
NO,0.3,0.4,0.4,0.4
KC,0.3,0.3,0.5,0.4
DEN,0.3,0.1,0.3,0.2
NE,0.2,0.1,0.3,0.2
CIN,0.1,0.2,0.2,0.2
JAX,0.1,0.1,0.2,0.1
TEN,0.1,0.1,0.2,0.1
SD,0.1,0.1,0.1,0.1
CLE,0.1,0.1,0.1,0.1
ATL,0.1,0.0,0.1,0.1
NYJ,0.1,0.0,0.1,0.0
LAR,0.1,0.0,0.1,0.0
MIN,0.0,0.0,0.0,0.0
SF,0.0,0.0,0.0,0.0
CHI,0.0,0.0,0.0,0.0
PHI,0.0,0.0,0.0,0.0
BUF,0.0,0.0,0.0,0.0
WAS,0.0,0.0,0.0,0.0
DET,0.0,0.0,0.0,0.0
