Team,YahooYahoo,OfficeFootballPoolOFP,Average
SEA,57.6,58.7,58.1
BUF,14.9,15.4,15.1
LAR,4.6,5.2,4.9
CLE,3.9,4.3,4.1
SF,4.1,4.1,4.1
LV,5.5,2.5,4.0
TB,2.4,2.9,2.7
KC,1.6,3.0,2.3
GB,2.6,0.9,1.8
WAS,1.0,1.0,1.0
NO,0.4,0.6,0.5
JAX,0.6,0.2,0.4
BAL,0.2,0.4,0.3
PHI,0.1,0.3,0.2
DET,0.2,0.1,0.2
DEN,0.1,0.1,0.1
NYG,0.1,0.1,0.1
CHI,0.1,0.0,0.0
IND,0.0,0.0,0.0
PIT,0.0,0.0,0.0
MIA,0.0,0.0,0.0
ATL,0.0,0.0,0.0
ARI,0.0,0.0,0.0
LAC,0.0,0.0,0.0
NE,0.0,0.0,0.0
MIN,0.0,0.0,0.0
CAR,0.0,0.0,0.0
CIN,0.0,0.0,0.0
DAL,0.0,0.0,0.0
HOU,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
TEN,0.0,0.0,0.0
