Team,YahooYahoo,OfficeFootballPoolOFP,Average
NE,44.1,42.8,43.4
CIN,13.7,14.8,14.3
NYG,10.0,15.1,12.6
HOU,10.8,7.9,9.4
SD,3.6,6.0,4.8
WAS,5.7,1.6,3.7
SF,1.9,3.8,2.8
DAL,3.1,1.6,2.4
OAK,2.1,1.1,1.6
PIT,0.8,1.7,1.2
NO,0.9,0.5,0.7
GB,0.6,0.7,0.7
MIN,0.7,0.6,0.7
BUF,0.5,0.6,0.5
BAL,0.5,0.3,0.4
IND,0.2,0.2,0.2
DEN,0.2,0.1,0.2
ATL,0.1,0.2,0.2
KC,0.2,0.1,0.2
MIA,0.1,0.1,0.1
PHI,0.0,0.1,0.1
CHI,0.1,0.0,0.0
NYJ,0.0,0.0,0.0
CLE,0.0,0.0,0.0
SEA,0.0,0.0,0.0
TB,0.0,0.0,0.0
CAR,0.0,0.0,0.0
DET,0.0,0.0,0.0
TEN,0.0,0.0,0.0
ARI,0.0,0.0,0.0
STL,0.0,0.0,0.0
JAX,0.0,0.0,0.0
