Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
PHI,25.7,22.2,8.8,18.9
SEA,12.7,16.2,27.7,18.9
PIT,14.9,8.3,8.4,10.6
HOU,8.0,10.5,4.9,7.8
KC,8.4,4.7,5.7,6.3
NE,7.0,5.8,4.7,5.8
BAL,1.8,2.9,8.6,4.4
LAR,4.6,2.4,5.5,4.2
NYG,1.9,8.0,1.9,3.9
BUF,2.4,5.1,2.2,3.2
GB,3.5,1.3,1.7,2.1
DAL,2.1,0.7,3.0,2.0
NO,1.7,0.8,2.1,1.5
MIA,0.5,0.6,3.2,1.4
TEN,0.5,0.7,2.9,1.4
IND,1.2,1.7,1.0,1.3
TB,0.3,2.2,1.0,1.2
ATL,0.6,0.8,1.8,1.1
MIN,0.5,1.1,1.4,1.0
LAC,0.6,0.5,0.5,0.5
WAS,0.1,0.7,0.4,0.4
CLE,0.3,0.5,0.4,0.4
DEN,0.0,0.2,0.6,0.3
CHI,0.5,0.2,0.1,0.3
OAK,0.0,0.5,0.2,0.2
ARI,0.0,0.4,0.2,0.2
DET,0.1,0.4,0.1,0.2
SF,0.0,0.3,0.2,0.2
JAX,0.0,0.1,0.3,0.2
NYJ,0.1,0.2,0.1,0.1
CIN,0.0,0.1,0.1,0.1
CAR,0.1,0.0,0.1,0.1
