Team,YahooYahoo,OfficeFootballPoolOFP,Average
KC,20.8,25.9,23.3
JAX,24.3,19.8,22.1
DAL,15.4,17.7,16.6
SF,16.5,15.5,16.0
SEA,8.4,5.8,7.1
BAL,3.6,6.7,5.1
MIA,5.9,4.0,4.9
BUF,0.9,1.1,1.0
NE,1.1,0.8,1.0
DET,1.0,0.6,0.8
PHI,0.4,0.6,0.5
LV,0.2,0.3,0.2
CLE,0.2,0.2,0.2
MIN,0.2,0.1,0.2
LAR,0.2,0.1,0.1
GB,0.2,0.1,0.1
CIN,0.1,0.1,0.1
PIT,0.1,0.1,0.1
NO,0.1,0.1,0.1
LAC,0.1,0.1,0.1
NYJ,0.1,0.1,0.1
TEN,0.2,0.0,0.1
ATL,0.1,0.0,0.0
WAS,0.0,0.0,0.0
NYG,0.0,0.0,0.0
HOU,0.0,0.0,0.0
DEN,0.0,0.0,0.0
TB,0.0,0.0,0.0
ARI,0.0,0.0,0.0
IND,0.0,0.0,0.0
CHI,0.0,0.0,0.0
CAR,0.0,0.0,0.0
