Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
KC,17.7,19.7,23.1,20.2
GB,11.3,15.0,17.0,14.4
LAC,15.6,11.5,12.7,13.2
PHI,11.9,13.6,9.1,11.5
ATL,14.6,9.6,9.8,11.3
NYJ,11.1,13.3,8.6,11.0
CHI,4.8,5.2,4.4,4.8
LAR,3.5,4.7,5.2,4.5
NO,4.8,2.7,3.2,3.6
NE,2.2,2.0,2.6,2.3
SF,1.0,0.6,0.9,0.8
PIT,0.5,0.6,0.9,0.7
IND,0.2,0.3,0.5,0.3
TB,0.2,0.4,0.4,0.3
JAX,0.1,0.0,0.7,0.3
WAS,0.3,0.1,0.3,0.2
NYG,0.1,0.2,0.2,0.2
CAR,0.1,0.0,0.1,0.1
DET,0.0,0.0,0.1,0.1
BUF,0.0,0.0,0.1,0.0
OAK,0.0,0.0,0.1,0.0
SEA,0.0,0.0,0.1,0.0
CIN,0.0,0.0,0.0,0.0
CLE,0.0,0.0,0.0,0.0
MIA,0.0,0.0,0.0,0.0
ARI,0.0,0.0,0.0,0.0
DAL,0.0,0.0,0.0,0.0
TEN,0.0,0.0,0.0,0.0
