Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
NO,30.6,31.6,29.5,30.6
BAL,20.9,23.9,22.3,22.4
GB,9.6,12.2,12.2,11.3
DET,11.1,11.2,10.5,10.9
PIT,9.2,3.1,4.7,5.6
MIN,3.6,6.3,6.1,5.3
LAR,3.0,2.4,2.3,2.6
NE,1.7,2.6,2.9,2.4
TEN,1.8,0.7,1.1,1.2
CAR,0.9,0.8,1.1,0.9
ARI,0.7,0.7,1.0,0.8
JAX,0.9,0.6,0.8,0.8
CIN,1.0,0.3,0.6,0.6
PHI,0.8,0.4,0.7,0.6
LAC,0.4,0.6,0.6,0.6
IND,0.4,0.4,0.6,0.5
DEN,0.3,0.5,0.5,0.5
ATL,0.6,0.3,0.4,0.4
CLE,0.4,0.1,0.3,0.3
MIA,0.2,0.2,0.3,0.2
NYG,0.2,0.2,0.3,0.2
SEA,0.3,0.1,0.2,0.2
WAS,0.2,0.1,0.2,0.2
KC,0.2,0.1,0.2,0.2
OAK,0.2,0.1,0.1,0.2
DAL,0.2,0.1,0.1,0.1
SF,0.2,0.1,0.1,0.1
NYJ,0.1,0.1,0.1,0.1
BUF,0.1,0.0,0.1,0.1
CHI,0.1,0.0,0.1,0.1
HOU,0.1,0.0,0.0,0.1
TB,0.1,0.0,0.1,0.0
