Team,YahooYahoo,OfficeFootballPoolOFP,Average
SEA,40.6,34.1,37.4
SF,12.8,16.6,14.7
WSH,14.0,11.0,12.5
CHI,7.5,10.8,9.1
MIN,7.2,2.8,5.0
KC,3.0,5.8,4.4
GB,3.9,4.8,4.4
JAX,1.0,4.0,2.5
DEN,1.4,3.3,2.3
BAL,2.5,1.5,2.0
NE,1.1,1.6,1.4
TB,1.3,0.5,0.9
BUF,0.8,0.3,0.6
ATL,0.4,0.7,0.6
PIT,0.4,0.7,0.6
IND,0.6,0.1,0.4
DAL,0.5,0.2,0.3
MIA,0.3,0.3,0.3
CAR,0.2,0.2,0.2
LV,0.2,0.1,0.1
CLE,0.1,0.1,0.1
LAR,0.1,0.1,0.1
HOU,0.1,0.1,0.1
NO,0.1,0.1,0.1
CIN,0.1,0.1,0.1
NYJ,0.1,0.0,0.1
ARI,0.1,0.0,0.0
NYG,0.0,0.0,0.0
PHI,0.0,0.0,0.0
DET,0.0,0.0,0.0
TEN,0.0,0.0,0.0
LAC,0.0,0.0,0.0
