Team,YahooYahoo,OfficeFootballPoolOFP,Average
WSH,32.4,33.1,32.8
BUF,34.1,31.1,32.6
LAR,9.9,14.7,12.3
CIN,8.0,6.4,7.2
JAX,3.7,6.0,4.9
PHI,3.1,1.5,2.3
IND,2.1,1.8,2.0
DEN,1.0,1.3,1.1
ATL,1.0,1.2,1.1
BAL,0.6,0.6,0.6
NO,0.9,0.2,0.5
LAC,0.4,0.5,0.4
PIT,0.6,0.1,0.4
NYJ,0.3,0.4,0.3
GB,0.3,0.4,0.3
KC,0.3,0.1,0.2
DET,0.3,0.1,0.2
ARI,0.1,0.2,0.2
MIN,0.2,0.1,0.1
SF,0.1,0.2,0.1
HOU,0.1,0.1,0.1
NE,0.2,0.0,0.1
SEA,0.1,0.1,0.1
NYG,0.0,0.1,0.1
TB,0.1,0.0,0.0
CLE,0.1,0.0,0.0
MIA,0.1,0.0,0.0
TEN,0.1,0.0,0.0
LV,0.0,0.0,0.0
CAR,0.0,0.0,0.0
DAL,0.0,0.0,0.0
CHI,0.0,0.0,0.0
