Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
BAL,29.4,24.2,21.5,25.0
PIT,28.2,14.8,19.5,20.8
DAL,8.1,19.3,14.1,13.8
IND,10.6,11.7,12.6,11.6
TB,8.0,8.0,8.4,8.1
ARI,4.7,9.7,7.2,7.2
BUF,5.7,6.2,8.0,6.6
TEN,1.6,1.8,1.7,1.7
LAC,1.4,1.3,1.3,1.3
GB,0.7,1.4,1.8,1.3
DEN,0.5,0.4,0.6,0.5
LAR,0.6,0.3,0.5,0.5
KC,0.2,0.3,0.7,0.4
NE,0.1,0.3,0.5,0.3
CLE,0.2,0.1,0.4,0.2
PHI,0.1,0.1,0.2,0.1
NO,0.0,0.0,0.3,0.1
MIA,0.0,0.0,0.1,0.1
MIN,0.0,0.0,0.1,0.0
DET,0.1,0.0,0.1,0.0
LV,0.1,0.0,0.1,0.0
JAX,0.0,0.0,0.1,0.0
ATL,0.0,0.0,0.1,0.0
SF,0.0,0.0,0.1,0.0
SEA,0.0,0.0,0.1,0.0
NYJ,0.0,0.0,0.0,0.0
CAR,0.0,0.0,0.1,0.0
WAS,0.0,0.0,0.0,0.0
CHI,0.0,0.0,0.0,0.0
CIN,0.0,0.0,0.0,0.0
HOU,0.0,0.0,0.0,0.0
NYG,0.0,0.0,0.0,0.0
