Team,YahooYahoo,OfficeFootballPoolOFP,Average
PHI,27.1,34.8,30.9
DEN,25.6,31.4,28.5
GB,14.5,10.8,12.7
BUF,19.9,4.5,12.2
KC,4.4,2.6,3.5
CHI,2.1,4.3,3.2
LAR,1.9,1.6,1.8
CIN,1.0,1.0,1.0
ATL,0.0,1.6,0.8
NYJ,0.3,1.2,0.7
SEA,0.6,0.5,0.6
IND,0.6,0.5,0.5
NE,0.0,0.8,0.4
CLE,0.2,0.6,0.4
DET,0.5,0.1,0.3
JAX,0.1,0.5,0.3
HOU,0.1,0.5,0.3
ARI,0.0,0.5,0.3
SF,0.3,0.1,0.2
PIT,0.0,0.4,0.2
TB,0.1,0.2,0.2
MIN,0.0,0.3,0.2
TEN,0.0,0.3,0.2
WAS,0.1,0.2,0.1
BAL,0.1,0.2,0.1
LV,0.0,0.2,0.1
CAR,0.0,0.2,0.1
NYG,0.1,0.1,0.1
DAL,0.1,0.0,0.1
MIA,0.1,0.0,0.0
NO,0.1,0.0,0.0
LAC,0.0,0.0,0.0
