Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
MIN,64.2,56.8,54.2,58.4
JAX,7.7,11.0,12.0,10.2
KC,7.4,7.1,6.8,7.1
CHI,6.3,4.7,4.6,5.2
NE,3.8,4.8,5.0,4.5
PHI,2.5,5.0,5.2,4.2
HOU,1.8,3.1,2.7,2.5
CLE,2.1,1.6,1.8,1.8
LAR,0.8,2.3,2.1,1.7
MIA,0.9,0.7,1.0,0.9
BAL,0.2,0.7,0.7,0.5
GB,0.5,0.3,0.6,0.5
SEA,0.2,0.5,0.7,0.5
CAR,0.2,0.3,0.7,0.4
PIT,0.1,0.3,0.4,0.3
NYJ,0.3,0.1,0.4,0.3
TB,0.3,0.2,0.2,0.2
OAK,0.1,0.1,0.2,0.1
ATL,0.1,0.1,0.2,0.1
DAL,0.1,0.1,0.1,0.1
BUF,0.0,0.1,0.1,0.1
DEN,0.1,0.0,0.1,0.1
NYG,0.1,0.0,0.1,0.0
ARI,0.0,0.0,0.1,0.0
CIN,0.1,0.0,0.1,0.0
NO,0.1,0.0,0.1,0.0
SF,0.0,0.0,0.0,0.0
LAC,0.0,0.0,0.0,0.0
WAS,0.0,0.0,0.0,0.0
IND,0.0,0.0,0.0,0.0
TEN,0.0,0.0,0.0,0.0
DET,0.0,0.0,0.0,0.0
