Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
GB,28.9,28.4,27.0,28.1
DEN,23.8,30.6,26.8,27.1
NO,19.1,9.4,11.5,13.3
TB,6.8,7.2,7.3,7.1
SF,4.9,7.4,7.7,6.7
WAS,3.4,6.0,4.4,4.6
NE,2.2,2.8,3.2,2.7
SEA,2.2,2.0,2.8,2.3
HOU,2.8,1.3,1.7,1.9
TEN,1.2,1.1,1.5,1.3
ARI,1.4,0.5,1.0,0.9
CIN,0.5,1.0,0.9,0.8
MIA,0.6,0.3,1.3,0.7
IND,0.4,0.4,0.4,0.4
DET,0.3,0.2,0.4,0.3
NYG,0.1,0.5,0.3,0.3
PIT,0.4,0.2,0.3,0.3
BUF,0.2,0.2,0.3,0.2
BAL,0.1,0.1,0.2,0.2
DAL,0.2,0.1,0.2,0.2
ATL,0.1,0.1,0.2,0.1
CAR,0.1,0.1,0.2,0.1
OAK,0.1,0.1,0.1,0.1
PHI,0.1,0.1,0.1,0.1
JAX,0.1,0.0,0.1,0.1
STL,0.0,0.0,0.1,0.0
MIN,0.0,0.0,0.0,0.0
CLE,0.0,0.0,0.1,0.0
KC,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0
CHI,0.0,0.0,0.0,0.0
NYJ,0.0,0.0,0.0,0.0
