Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
NE,19.0,17.4,14.0,18.2
BAL,24.4,15.4,15.3,18.0
HOU,12.3,21.0,26.0,17.5
OAK,11.9,9.5,8.9,10.5
ATL,10.4,8.2,8.3,9.2
PHI,6.1,10.4,8.5,7.7
GB,3.6,6.8,5.9,4.7
CIN,2.9,3.5,2.9,3.6
NO,3.2,2.0,2.6,3.0
CHI,1.6,2.4,2.0,1.9
IND,1.1,0.8,1.4,1.2
DET,0.8,0.6,1.3,1.0
DEN,0.8,0.7,0.7,0.8
CAR,0.5,0.3,0.4,0.6
DAL,0.4,0.2,0.3,0.5
BUF,0.3,0.2,0.4,0.4
SF,0.2,0.1,0.2,0.2
PIT,0.1,0.1,0.1,0.2
KC,0.1,0.2,0.2,0.2
JAX,0.0,0.0,0.1,0.1
ARI,0.1,0.1,0.1,0.1
SEA,0.1,0.1,0.1,0.1
NYJ,0.0,0.0,0.1,0.1
STL,0.0,0.0,0.0,0.0
MIN,0.0,0.0,0.0,0.0
CLE,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0
TEN,0.0,0.0,0.1,0.0
MIA,0.0,0.0,0.0,0.0
NYG,0.0,0.0,0.0,0.0
WAS,0.0,0.0,0.0,0.0
TB,0.0,0.0,0.0,0.0
