Team,YahooYahoo,Average
GB,34.2,34.2
TB,19.8,19.8
NO,19.4,19.4
BUF,5.8,5.8
CHI,5.2,5.2
ATL,3.9,3.9
SD,3.0,3.0
PHI,2.8,2.8
MIN,1.7,1.7
WAS,1.3,1.3
NE,0.9,0.9
NYG,0.7,0.7
DET,0.2,0.2
BAL,0.2,0.2
TEN,0.2,0.2
CLE,0.1,0.1
HOU,0.1,0.1
KC,0.1,0.1
DAL,0.1,0.1
PIT,0.1,0.1
STL,0.1,0.1
SF,0.0,0.0
CAR,0.0,0.0
IND,0.0,0.0
NYJ,0.0,0.0
OAK,0.0,0.0
ARI,0.0,0.0
CIN,0.0,0.0
SEA,0.0,0.0
JAX,0.0,0.0
MIA,0.0,0.0
DEN,0.0,0.0
