Team,YahooYahoo,Average
ATL,37.2,37.2
JAX,13.4,13.4
PIT,10.0,10.0
NYJ,7.3,7.3
IND,6.0,6.0
GB,5.2,5.2
PHI,4.4,4.4
NO,4.0,4.0
SD,3.2,3.2
DEN,2.3,2.3
NYG,1.6,1.6
CLE,1.5,1.5
SF,1.1,1.1
TB,1.0,1.0
BAL,0.6,0.6
NE,0.4,0.4
SEA,0.2,0.2
BUF,0.1,0.1
WAS,0.1,0.1
CHI,0.1,0.1
ARI,0.1,0.1
OAK,0.1,0.1
DAL,0.1,0.1
KC,0.0,0.0
MIN,0.0,0.0
HOU,0.0,0.0
CAR,0.0,0.0
TEN,0.0,0.0
MIA,0.0,0.0
DET,0.0,0.0
CIN,0.0,0.0
STL,0.0,0.0
