Team,YahooYahoo,OfficeFootballPoolOFP,Average
LAC,36.3,38.0,37.1
BAL,19.9,20.2,20.1
DET,15.2,17.6,16.4
PHI,6.7,5.7,6.2
MIA,4.2,4.9,4.5
BUF,4.0,4.8,4.4
KC,4.5,2.0,3.2
HOU,4.0,1.5,2.8
DAL,2.1,3.2,2.7
NYJ,1.0,0.9,1.0
MIN,0.6,0.3,0.5
ATL,0.3,0.2,0.3
SF,0.3,0.2,0.3
JAX,0.2,0.1,0.2
SEA,0.1,0.1,0.1
TEN,0.1,0.0,0.0
IND,0.1,0.0,0.0
NO,0.1,0.0,0.0
PIT,0.1,0.0,0.0
GB,0.0,0.0,0.0
CAR,0.0,0.0,0.0
LAR,0.0,0.0,0.0
CIN,0.0,0.0,0.0
NYG,0.0,0.0,0.0
CLE,0.0,0.0,0.0
TB,0.0,0.0,0.0
CHI,0.0,0.0,0.0
ARI,0.0,0.0,0.0
LV,0.0,0.0,0.0
NE,0.0,0.0,0.0
WAS,0.0,0.0,0.0
DEN,0.0,0.0,0.0
