Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
LAC,23.8,25.4,16.5,21.9
GB,22.9,22.6,14.1,19.9
TEN,22.5,17.1,15.7,18.4
DEN,11.8,18.5,11.9,14.1
SEA,10.1,7.8,12.8,10.2
NO,4.0,3.7,15.9,7.9
KC,2.3,1.8,2.6,2.2
DAL,0.5,0.5,2.0,1.0
CAR,0.2,0.7,1.7,0.8
SF,0.1,0.2,1.7,0.7
MIN,0.6,0.3,0.8,0.6
PIT,0.2,0.1,0.9,0.4
ARI,0.1,0.3,0.6,0.3
CIN,0.1,0.1,0.7,0.3
BAL,0.4,0.1,0.4,0.3
WAS,0.1,0.2,0.3,0.2
TB,0.2,0.1,0.2,0.2
CLE,0.1,0.1,0.3,0.2
DET,0.1,0.2,0.1,0.1
ATL,0.1,0.0,0.2,0.1
LAR,0.1,0.0,0.2,0.1
NYG,0.0,0.1,0.1,0.1
NYJ,0.0,0.1,0.1,0.1
JAX,0.0,0.0,0.2,0.1
CHI,0.0,0.1,0.0,0.1
LV,0.0,0.0,0.1,0.0
HOU,0.0,0.0,0.1,0.0
BUF,0.0,0.0,0.0,0.0
IND,0.0,0.0,0.0,0.0
MIA,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0
PHI,0.0,0.0,0.0,0.0
