Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
IND,32.8,14.3,18.4,21.8
SEA,14.3,11.4,12.7,12.8
PIT,10.8,8.1,14.4,11.1
MIN,8.1,12.1,12.1,10.8
WAS,7.7,15.8,6.0,9.8
KC,8.2,5.4,4.4,6.0
TB,3.8,9.9,3.4,5.7
ATL,3.1,6.9,5.5,5.1
ARI,4.1,5.7,3.7,4.5
NE,1.6,2.6,3.1,2.4
DEN,0.5,1.0,2.7,1.4
PHI,0.6,1.8,1.8,1.4
GB,1.4,0.8,1.4,1.2
HOU,0.6,0.3,2.0,0.9
BUF,0.7,0.8,0.9,0.8
CAR,0.1,0.2,1.4,0.5
DAL,0.5,0.2,0.7,0.5
BAL,0.4,0.4,0.5,0.4
TEN,0.1,0.4,0.8,0.4
NYJ,0.1,0.2,1.0,0.4
CIN,0.1,0.2,0.7,0.3
NYG,0.2,0.1,0.5,0.3
OAK,0.3,0.2,0.3,0.3
CLE,0.1,0.3,0.2,0.2
JAX,0.1,0.3,0.2,0.2
NO,0.1,0.0,0.5,0.2
CHI,0.1,0.1,0.3,0.1
LAR,0.0,0.2,0.2,0.1
SD,0.0,0.1,0.2,0.1
DET,0.1,0.1,0.1,0.1
SF,0.0,0.1,0.1,0.1
MIA,0.1,0.0,0.1,0.1
