Team,YahooYahoo,OfficeFootballPoolOFP,Average
SF,30.0,35.4,32.7
PHI,23.6,21.4,22.5
KC,17.3,17.3,17.3
LAC,7.6,9.9,8.8
MIN,7.9,4.9,6.4
DAL,3.4,4.5,3.9
DEN,2.3,1.5,1.9
PIT,2.2,1.3,1.7
JAX,1.0,1.0,1.0
CIN,1.1,0.5,0.8
SEA,0.8,0.3,0.5
DET,0.6,0.4,0.5
NO,0.2,0.5,0.4
LAR,0.4,0.1,0.3
BAL,0.3,0.1,0.2
MIA,0.3,0.1,0.2
GB,0.2,0.1,0.2
IND,0.1,0.2,0.2
CHI,0.2,0.1,0.2
CLE,0.1,0.1,0.1
BUF,0.1,0.1,0.1
HOU,0.1,0.1,0.1
NYG,0.1,0.1,0.1
TB,0.1,0.0,0.1
ATL,0.1,0.0,0.0
TEN,0.0,0.0,0.0
ARI,0.0,0.0,0.0
LV,0.0,0.0,0.0
NE,0.0,0.0,0.0
CAR,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
WAS,0.0,0.0,0.0
