Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
LAC,59.3,63.5,45.3,56.0
JAX,9.7,11.0,9.3,10.0
OAK,9.2,8.4,8.0,8.6
KC,1.0,1.1,11.2,4.4
LAR,7.4,3.2,2.4,4.3
TEN,3.5,4.8,2.7,3.7
NE,3.3,1.7,3.6,2.9
CHI,2.3,1.6,2.5,2.1
GB,0.7,0.9,2.0,1.2
ARI,0.0,0.1,2.5,0.9
DEN,0.1,0.4,2.0,0.8
PIT,1.2,0.4,0.8,0.8
ATL,0.1,0.3,1.7,0.7
DAL,0.1,0.2,1.8,0.7
WAS,0.5,0.2,0.3,0.3
BAL,0.2,0.2,0.6,0.3
NO,0.3,0.3,0.3,0.3
SEA,0.0,0.1,0.8,0.3
SF,0.3,0.2,0.4,0.3
PHI,0.3,0.1,0.2,0.2
MIA,0.2,0.2,0.2,0.2
MIN,0.2,0.1,0.1,0.2
IND,0.0,0.0,0.4,0.1
CIN,0.0,0.3,0.1,0.1
DET,0.1,0.0,0.2,0.1
CLE,0.0,0.1,0.1,0.1
NYJ,0.0,0.1,0.1,0.1
CAR,0.0,0.0,0.2,0.1
TB,0.0,0.1,0.1,0.1
HOU,0.0,0.0,0.2,0.1
NYG,0.0,0.0,0.1,0.0
BUF,0.0,0.0,0.1,0.0
