Team,YahooYahoo,OfficeFootballPoolOFP,Average
BUF,27.0,29.0,28.0
DAL,22.4,22.9,22.6
NYG,15.0,11.4,13.2
SF,7.4,11.1,9.2
DET,5.7,6.2,6.0
PHI,5.3,6.4,5.8
NO,4.3,2.1,3.2
DEN,1.8,2.9,2.4
TB,2.0,1.5,1.7
LAC,2.0,1.2,1.6
MIA,1.4,0.9,1.2
KC,0.9,1.0,0.9
CLE,1.2,0.6,0.9
IND,1.2,0.6,0.9
GB,0.9,0.5,0.7
CIN,0.2,0.4,0.3
HOU,0.2,0.3,0.2
ATL,0.1,0.3,0.2
BAL,0.2,0.1,0.1
ARI,0.1,0.1,0.1
CHI,0.1,0.1,0.1
PIT,0.1,0.1,0.1
WAS,0.1,0.1,0.1
NE,0.1,0.1,0.1
LV,0.1,0.0,0.0
MIN,0.1,0.0,0.0
SEA,0.1,0.0,0.0
LAR,0.0,0.0,0.0
TEN,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
JAX,0.0,0.0,0.0
CAR,0.0,0.0,0.0
