Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
LAC,29.6,36.0,27.2,30.9
GB,19.6,20.6,25.8,22.0
JAX,24.2,21.2,20.1,21.8
NE,3.1,4.6,5.5,4.4
SEA,4.6,2.5,2.6,3.2
LAR,3.4,2.9,2.7,3.0
PHI,3.3,1.6,2.4,2.4
ATL,1.8,2.6,2.8,2.4
KC,2.1,2.0,1.6,1.9
NO,2.7,1.0,1.6,1.8
OAK,0.9,1.1,2.0,1.3
IND,0.6,0.9,1.3,1.0
DAL,0.5,0.7,1.1,0.8
CHI,0.4,0.6,0.8,0.6
CLE,0.9,0.2,0.4,0.5
PIT,0.4,0.4,0.5,0.4
DET,0.5,0.2,0.3,0.3
HOU,0.3,0.2,0.3,0.3
TB,0.4,0.1,0.2,0.2
MIA,0.2,0.1,0.1,0.1
MIN,0.1,0.0,0.2,0.1
DEN,0.1,0.1,0.1,0.1
ARI,0.0,0.1,0.1,0.1
CIN,0.2,0.0,0.1,0.1
NYG,0.0,0.1,0.1,0.1
BAL,0.1,0.1,0.1,0.1
SF,0.1,0.0,0.1,0.0
BUF,0.1,0.0,0.1,0.0
NYJ,0.0,0.0,0.0,0.0
TEN,0.0,0.0,0.0,0.0
