Team,YahooYahoo,Average
BAL,32.3,32.3
NYG,18.5,18.5
SF,16.3,16.3
NO,13.2,13.2
TEN,8.3,8.3
HOU,5.9,5.9
BUF,1.8,1.8
DET,1.3,1.3
CIN,0.7,0.7
CAR,0.6,0.6
SD,0.4,0.4
PHI,0.2,0.2
NE,0.1,0.1
DAL,0.1,0.1
MIN,0.1,0.1
KC,0.1,0.1
SEA,0.1,0.1
PIT,0.0,0.0
IND,0.0,0.0
DEN,0.0,0.0
WAS,0.0,0.0
STL,0.0,0.0
CLE,0.0,0.0
MIA,0.0,0.0
ARI,0.0,0.0
JAX,0.0,0.0
