Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
MIN,33.2,35.9,26.2,31.7
LV,36.7,20.1,24.5,27.1
SEA,11.4,18.7,16.4,15.5
MIA,6.8,10.8,10.1,9.2
KC,5.3,8.1,9.2,7.5
GB,1.6,1.5,2.6,1.9
PIT,1.0,0.9,3.3,1.7
BAL,1.0,1.1,2.3,1.5
TEN,1.0,0.9,1.5,1.1
CHI,0.8,0.7,1.2,0.9
NO,0.6,0.1,0.7,0.4
IND,0.3,0.2,0.3,0.2
SF,0.0,0.2,0.3,0.2
NE,0.1,0.1,0.2,0.1
BUF,0.1,0.1,0.2,0.1
HOU,0.0,0.0,0.3,0.1
LAR,0.0,0.1,0.1,0.1
CIN,0.0,0.0,0.2,0.1
ATL,0.0,0.1,0.1,0.1
LAC,0.0,0.0,0.1,0.1
DAL,0.0,0.0,0.1,0.0
ARI,0.0,0.0,0.1,0.0
DET,0.0,0.0,0.1,0.0
NYJ,0.0,0.0,0.1,0.0
JAX,0.0,0.0,0.0,0.0
CLE,0.0,0.0,0.0,0.0
NYG,0.0,0.0,0.0,0.0
WAS,0.0,0.0,0.0,0.0
DEN,0.0,0.0,0.0,0.0
PHI,0.0,0.0,0.0,0.0
