Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
MIA,54.9,46.9,39.8,47.2
NE,18.3,28.2,23.9,23.5
IND,5.2,7.3,10.7,7.8
BAL,6.6,6.5,9.0,7.4
TEN,7.3,2.4,3.4,4.4
MIN,2.0,2.1,2.7,2.3
PIT,1.0,1.0,2.0,1.3
NYG,0.7,1.1,1.3,1.0
KC,0.7,1.0,1.2,1.0
LAR,0.9,0.8,1.1,0.9
DET,0.5,0.9,1.3,0.9
GB,0.5,0.5,1.4,0.8
ARI,0.5,0.4,0.4,0.4
CHI,0.2,0.1,0.4,0.2
DAL,0.1,0.2,0.4,0.2
CAR,0.1,0.2,0.3,0.2
WAS,0.2,0.1,0.2,0.2
JAX,0.0,0.1,0.1,0.1
SF,0.0,0.0,0.1,0.0
ATL,0.1,0.0,0.1,0.0
NYJ,0.1,0.0,0.0,0.0
HOU,0.0,0.0,0.0,0.0
CIN,0.0,0.0,0.1,0.0
TB,0.0,0.0,0.1,0.0
BUF,0.0,0.0,0.0,0.0
PHI,0.0,0.0,0.0,0.0
CLE,0.0,0.0,0.0,0.0
DEN,0.0,0.0,0.0,0.0
LAC,0.0,0.0,0.0,0.0
