Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
LAR,33.2,37.5,31.4,34.0
TB,33.5,31.2,27.0,30.6
SF,12.2,7.3,8.8,9.5
GB,7.2,8.7,11.4,9.1
LAC,4.6,5.1,4.2,4.6
BAL,1.5,2.4,3.7,2.6
MIN,2.6,1.9,2.2,2.2
PHI,0.8,2.3,1.9,1.7
CHI,1.3,0.5,1.1,1.0
CIN,0.8,0.7,1.5,1.0
IND,0.4,0.4,1.6,0.8
ARI,0.4,0.5,1.5,0.8
WAS,0.3,0.3,0.8,0.5
CLE,0.3,0.4,0.5,0.4
NE,0.2,0.1,0.8,0.4
JAX,0.1,0.1,0.2,0.2
SEA,0.1,0.1,0.2,0.1
MIA,0.0,0.0,0.3,0.1
DAL,0.1,0.0,0.2,0.1
NYG,0.1,0.0,0.1,0.1
BUF,0.1,0.0,0.1,0.1
PIT,0.0,0.1,0.1,0.1
CAR,0.0,0.1,0.1,0.1
KC,0.1,0.0,0.1,0.1
NO,0.0,0.0,0.1,0.0
DEN,0.0,0.0,0.1,0.0
NYJ,0.0,0.0,0.1,0.0
ATL,0.0,0.0,0.1,0.0
DET,0.0,0.0,0.0,0.0
HOU,0.0,0.0,0.0,0.0
LV,0.0,0.0,0.0,0.0
TEN,0.0,0.0,0.0,0.0
