Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
MIN,20.0,28.4,15.4,21.3
NE,32.9,12.1,9.6,18.2
SEA,20.3,8.3,13.5,14.0
STL,0.6,2.6,11.2,4.8
PIT,2.7,10.2,1.2,4.7
KC,7.0,4.8,1.6,4.5
BUF,0.2,4.0,6.3,3.5
DAL,0.0,2.3,7.2,3.2
NO,2.0,3.5,3.1,2.9
NYJ,4.6,3.0,0.8,2.8
GB,1.6,0.7,6.0,2.8
JAX,1.5,4.7,0.5,2.2
IND,0.1,1.9,3.9,2.0
ATL,0.1,0.4,4.8,1.8
SD,0.2,2.0,2.8,1.7
CIN,0.9,0.5,2.3,1.2
CAR,1.4,1.5,0.8,1.2
NYG,0.2,0.4,2.3,1.0
HOU,0.4,2.2,0.2,0.9
WAS,0.4,1.7,0.5,0.9
SF,0.1,1.1,1.1,0.8
ARI,1.0,0.4,0.7,0.7
TB,0.8,0.4,0.7,0.6
PHI,0.0,0.6,1.1,0.6
BAL,0.0,0.5,0.9,0.5
MIA,0.5,0.2,0.3,0.3
DET,0.1,0.5,0.4,0.3
OAK,0.1,0.6,0.1,0.2
CHI,0.1,0.1,0.4,0.2
DEN,0.1,0.1,0.3,0.2
TEN,0.1,0.1,0.1,0.1
CLE,0.0,0.0,0.0,0.0
