Team,YahooYahoo,Average
KC,57.3,57.3
DAL,8.5,8.5
STL,7.8,7.8
NYJ,6.4,6.4
NE,5.8,5.8
WAS,4.3,4.3
IND,3.6,3.6
MIA,1.0,1.0
TEN,0.9,0.9
DEN,0.7,0.7
OAK,0.7,0.7
TB,0.6,0.6
PIT,0.5,0.5
SD,0.3,0.3
DET,0.3,0.3
ARI,0.3,0.3
SEA,0.2,0.2
JAX,0.2,0.2
CIN,0.2,0.2
SF,0.1,0.1
BUF,0.1,0.1
HOU,0.1,0.1
CAR,0.1,0.1
NO,0.0,0.0
GB,0.0,0.0
MIN,0.0,0.0
