Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
DAL,66.1,50.9,49.8,55.6
NE,7.9,16.9,16.8,13.9
GB,7.2,8.2,8.8,8.1
MIN,4.1,10.0,8.6,7.6
SF,4.4,3.9,3.4,3.9
BUF,2.8,2.6,2.8,2.7
TB,1.5,2.1,2.1,1.9
SEA,1.5,1.2,1.5,1.4
PHI,0.8,1.0,1.6,1.1
LAR,1.0,0.6,0.9,0.8
CHI,0.8,0.6,0.7,0.7
KC,0.2,0.5,0.6,0.4
ARI,0.4,0.3,0.6,0.4
TEN,0.6,0.2,0.4,0.4
ATL,0.4,0.1,0.4,0.3
IND,0.0,0.2,0.3,0.2
JAX,0.1,0.1,0.1,0.1
LAC,0.0,0.1,0.1,0.1
CAR,0.1,0.0,0.1,0.1
MIA,0.0,0.1,0.0,0.1
NYG,0.0,0.0,0.1,0.0
PIT,0.0,0.0,0.1,0.0
CIN,0.0,0.0,0.1,0.0
WAS,0.0,0.0,0.1,0.0
DET,0.0,0.0,0.0,0.0
HOU,0.0,0.0,0.0,0.0
OAK,0.0,0.0,0.0,0.0
NO,0.0,0.0,0.0,0.0
BAL,0.0,0.0,0.0,0.0
DEN,0.0,0.0,0.0,0.0
CLE,0.0,0.0,0.0,0.0
NYJ,0.0,0.0,0.0,0.0
