Team,YahooYahoo,OfficeFootballPoolOFP,Average
GB,36.0,41.8,38.9
ATL,19.6,17.5,18.5
BUF,14.1,12.0,13.0
CIN,8.5,11.4,9.9
ARI,6.6,6.0,6.3
LAR,5.4,3.4,4.4
IND,3.0,2.6,2.8
DET,3.0,1.2,2.1
TB,0.9,0.9,0.9
MIN,0.5,0.5,0.5
BAL,0.4,0.4,0.4
LAC,0.4,0.3,0.3
KC,0.4,0.2,0.3
JAX,0.2,0.3,0.3
SF,0.3,0.2,0.3
LV,0.2,0.3,0.2
PHI,0.3,0.1,0.2
MIA,0.1,0.2,0.1
PIT,0.0,0.1,0.1
NO,0.0,0.1,0.1
CAR,0.0,0.1,0.1
NYJ,0.0,0.1,0.1
CLE,0.0,0.1,0.1
SEA,0.0,0.1,0.1
TEN,0.0,0.1,0.1
DEN,0.1,0.0,0.1
CHI,0.0,0.1,0.1
HOU,0.1,0.0,0.0
DAL,0.0,0.0,0.0
WSH,0.0,0.0,0.0
NYG,0.0,0.0,0.0
NE,0.0,0.0,0.0
