Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
GB,51.7,53.5,52.3,52.5
NO,26.8,27.7,23.6,26.0
LV,7.2,5.0,4.7,5.6
PIT,2.1,2.7,5.1,3.3
BAL,3.6,2.8,3.2,3.2
TB,1.8,2.4,2.7,2.3
DET,2.4,1.7,2.4,2.1
CLE,1.5,1.4,1.3,1.4
PHI,0.9,1.0,1.3,1.1
TEN,0.5,0.3,0.8,0.6
MIA,0.8,0.3,0.5,0.5
MIN,0.3,0.5,0.4,0.4
SEA,0.2,0.1,0.2,0.2
CHI,0.1,0.1,0.2,0.2
HOU,0.0,0.0,0.4,0.1
ARI,0.0,0.1,0.2,0.1
LAR,0.0,0.1,0.2,0.1
BUF,0.1,0.0,0.2,0.1
NYG,0.0,0.1,0.1,0.1
IND,0.0,0.0,0.1,0.0
LAC,0.0,0.0,0.1,0.0
WAS,0.0,0.0,0.1,0.0
DEN,0.0,0.0,0.0,0.0
SF,0.0,0.0,0.0,0.0
CAR,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0
CIN,0.0,0.0,0.0,0.0
JAX,0.0,0.0,0.0,0.0
