Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
CIN,49.3,43.8,33.2,42.1
NO,28.8,22.4,21.2,24.2
NE,9.3,11.4,16.7,12.5
NYJ,3.2,10.4,8.1,7.2
PIT,1.3,2.7,7.6,3.8
ATL,2.4,2.9,2.6,2.6
DEN,2.7,2.0,2.6,2.4
SD,0.9,1.3,2.0,1.4
NYG,0.8,0.9,1.7,1.1
GB,0.1,0.1,1.4,0.5
MIN,0.4,0.4,0.7,0.5
BUF,0.2,0.7,0.6,0.5
PHI,0.3,0.4,0.3,0.3
STL,0.1,0.1,0.2,0.1
DAL,0.1,0.0,0.2,0.1
CLE,0.0,0.0,0.2,0.1
SF,0.0,0.0,0.2,0.1
MIA,0.1,0.0,0.1,0.1
CHI,0.0,0.1,0.1,0.1
CAR,0.0,0.0,0.1,0.0
OAK,0.0,0.0,0.1,0.0
TEN,0.0,0.0,0.1,0.0
JAX,0.0,0.0,0.1,0.0
TB,0.0,0.0,0.1,0.0
IND,0.0,0.0,0.1,0.0
WAS,0.0,0.0,0.0,0.0
