Team,YahooYahoo,OfficeFootballPoolOFP,Average
BAL,47.7,41.0,44.4
HOU,13.4,19.1,16.2
ATL,10.0,12.4,11.2
ARI,11.7,10.3,11.0
DEN,3.9,5.4,4.7
GB,3.0,4.6,3.8
NE,2.5,2.0,2.2
SF,1.9,1.3,1.6
CIN,1.5,0.7,1.1
DET,1.0,0.9,0.9
SEA,1.4,0.5,0.9
SD,0.5,0.1,0.3
KC,0.1,0.5,0.3
DAL,0.3,0.2,0.3
NYG,0.3,0.1,0.2
TB,0.2,0.2,0.2
WAS,0.3,0.1,0.2
CHI,0.1,0.1,0.1
STL,0.1,0.1,0.1
PHI,0.1,0.1,0.1
CLE,0.1,0.1,0.1
JAX,0.0,0.1,0.1
MIN,0.1,0.0,0.1
BUF,0.1,0.0,0.0
OAK,0.0,0.0,0.0
NO,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
CAR,0.0,0.0,0.0
MIA,0.0,0.0,0.0
TEN,0.0,0.0,0.0
