Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
BAL,33.3,27.1,36.8,32.4
KC,34.3,26.7,23.2,28.1
NYG,10.5,15.7,4.8,10.3
DET,3.9,7.1,6.9,5.9
NE,5.5,5.3,5.6,5.5
SEA,5.4,7.8,2.8,5.4
CAR,1.3,2.5,6.5,3.4
GB,2.4,0.8,3.0,2.1
IND,0.7,1.1,1.6,1.1
STL,0.6,1.7,0.8,1.0
ARI,0.3,0.1,2.3,0.9
NYJ,0.2,1.5,0.5,0.7
PIT,0.6,0.5,0.5,0.5
PHI,0.3,0.2,0.8,0.4
CIN,0.1,0.4,0.8,0.4
ATL,0.1,0.1,0.6,0.3
DEN,0.2,0.1,0.3,0.2
NO,0.2,0.2,0.3,0.2
TEN,0.0,0.1,0.5,0.2
CLE,0.1,0.1,0.4,0.2
CHI,0.0,0.2,0.1,0.1
DAL,0.1,0.1,0.1,0.1
TB,0.1,0.2,0.1,0.1
OAK,0.0,0.1,0.1,0.1
MIN,0.0,0.0,0.2,0.1
WAS,0.0,0.0,0.2,0.1
HOU,0.0,0.1,0.1,0.1
BUF,0.0,0.1,0.1,0.1
MIA,0.0,0.0,0.1,0.0
JAX,0.0,0.0,0.1,0.0
SF,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0
