Team,YahooYahoo,Average
NO,46.0,46.0
GB,11.7,11.7
NYJ,9.2,9.2
SD,7.6,7.6
ATL,7.6,7.6
IND,6.8,6.8
HOU,4.3,4.3
CIN,2.7,2.7
PHI,1.2,1.2
TEN,1.0,1.0
SEA,0.7,0.7
CHI,0.2,0.2
NE,0.2,0.2
PIT,0.2,0.2
NYG,0.1,0.1
STL,0.1,0.1
BAL,0.1,0.1
MIA,0.1,0.1
CLE,0.0,0.0
WAS,0.0,0.0
SF,0.0,0.0
DEN,0.0,0.0
OAK,0.0,0.0
DET,0.0,0.0
BUF,0.0,0.0
ARI,0.0,0.0
CAR,0.0,0.0
JAX,0.0,0.0
