Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
MIN,32.2,23.9,10.8,22.3
KC,18.4,7.4,19.0,14.9
GB,13.1,11.2,6.1,10.1
NO,3.5,14.0,11.6,9.7
WAS,3.5,19.2,4.8,9.2
PHI,9.6,3.5,6.1,6.4
SF,4.4,3.2,10.3,6.0
BUF,3.4,2.6,2.5,2.8
LAC,1.7,3.8,2.9,2.8
CIN,3.3,1.9,1.3,2.1
DET,1.4,1.5,3.5,2.1
DAL,1.3,0.4,3.1,1.6
NYJ,0.5,1.1,3.1,1.6
CAR,1.0,2.4,1.3,1.6
LV,0.2,0.7,2.4,1.1
PIT,0.2,0.6,2.4,1.1
ARI,0.3,0.4,1.6,0.8
NE,0.6,0.3,0.8,0.6
DEN,0.5,0.2,0.9,0.5
BAL,0.4,0.0,1.1,0.5
CLE,0.4,0.6,0.5,0.5
NYG,0.1,0.3,1.0,0.5
SEA,0.1,0.2,0.8,0.4
IND,0.0,0.0,0.5,0.2
TB,0.0,0.0,0.5,0.2
TEN,0.1,0.1,0.3,0.1
LAR,0.0,0.0,0.3,0.1
ATL,0.1,0.0,0.2,0.1
JAX,0.0,0.0,0.2,0.1
CHI,0.0,0.0,0.2,0.1
HOU,0.0,0.0,0.1,0.0
MIA,0.0,0.0,0.1,0.0
