Team,YahooYahoo,Average
NO,24.4,24.4
TEN,23.2,23.2
GB,13.5,13.5
ATL,10.0,10.0
ARI,8.0,8.0
CIN,6.9,6.9
NYG,5.5,5.5
HOU,3.0,3.0
DAL,2.4,2.4
NE,0.5,0.5
DET,0.4,0.4
CHI,0.4,0.4
BUF,0.3,0.3
NYJ,0.3,0.3
BAL,0.3,0.3
PIT,0.2,0.2
MIA,0.1,0.1
SEA,0.1,0.1
SF,0.1,0.1
DEN,0.1,0.1
SD,0.1,0.1
PHI,0.1,0.1
OAK,0.1,0.1
CAR,0.0,0.0
TB,0.0,0.0
JAX,0.0,0.0
WAS,0.0,0.0
MIN,0.0,0.0
KC,0.0,0.0
STL,0.0,0.0
IND,0.0,0.0
