Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
SEA,44.3,39.2,35.6,39.7
ATL,16.1,18.5,18.8,17.8
GB,9.8,9.6,10.9,10.1
ARI,7.2,8.5,7.8,7.8
NE,4.9,6.7,7.4,6.3
DAL,3.4,7.8,6.8,6.0
KC,2.5,3.9,4.3,3.5
JAX,5.6,2.0,2.9,3.5
CIN,2.8,1.3,1.9,2.0
NO,0.8,0.6,0.8,0.7
PHI,0.7,0.2,0.4,0.4
TB,0.3,0.3,0.4,0.3
MIN,0.1,0.1,0.4,0.2
DEN,0.2,0.2,0.2,0.2
PIT,0.2,0.1,0.2,0.2
LAC,0.1,0.3,0.1,0.2
NYG,0.2,0.1,0.2,0.2
TEN,0.2,0.1,0.2,0.2
DET,0.1,0.1,0.1,0.1
HOU,0.1,0.1,0.2,0.1
CLE,0.1,0.0,0.1,0.1
NYJ,0.0,0.0,0.1,0.0
MIA,0.1,0.0,0.1,0.0
OAK,0.0,0.0,0.0,0.0
BAL,0.0,0.0,0.0,0.0
CHI,0.0,0.0,0.0,0.0
SF,0.0,0.0,0.0,0.0
WAS,0.0,0.0,0.0,0.0
LAR,0.0,0.0,0.0,0.0
IND,0.0,0.0,0.0,0.0
BUF,0.0,0.0,0.0,0.0
CAR,0.0,0.0,0.0,0.0
