Team,YahooYahoo,OfficeFootballPoolOFP,Average
TB,23.2,19.8,21.5
KC,14.4,15.7,15.1
DAL,15.1,12.7,13.9
DEN,8.7,12.9,10.8
BUF,5.9,10.1,8.0
DET,8.0,7.5,7.8
WSH,6.7,6.3,6.5
HOU,6.9,3.4,5.1
GB,2.6,3.4,3.0
MIN,1.6,2.4,2.0
SEA,2.6,0.7,1.6
IND,1.3,1.3,1.3
LAR,1.3,1.0,1.1
LAC,0.4,0.5,0.5
CIN,0.2,0.6,0.4
CLE,0.0,0.4,0.2
PIT,0.3,0.1,0.2
BAL,0.1,0.2,0.2
ATL,0.1,0.2,0.1
NYJ,0.1,0.2,0.1
TEN,0.0,0.2,0.1
MIA,0.1,0.1,0.1
NE,0.1,0.1,0.1
CAR,0.1,0.1,0.1
LV,0.0,0.1,0.1
NO,0.0,0.1,0.1
NYG,0.0,0.1,0.1
PHI,0.1,0.0,0.0
CHI,0.0,0.0,0.0
ARI,0.0,0.0,0.0
SF,0.0,0.0,0.0
JAX,0.0,0.0,0.0
