Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
KC,20.1,33.2,17.3,23.5
PHI,21.1,14.3,18.3,17.9
CIN,21.3,16.9,14.5,17.6
BUF,10.9,11.8,15.7,12.8
NE,5.8,12.7,6.0,8.2
MIA,7.1,4.9,5.6,5.9
MIN,8.3,2.5,4.5,5.1
ARI,0.2,1.1,4.9,2.1
GB,2.0,0.8,2.7,1.8
LAC,0.7,0.5,3.5,1.6
LV,0.2,0.3,3.1,1.2
BAL,1.1,0.4,1.1,0.9
SEA,0.5,0.1,0.4,0.3
TB,0.2,0.2,0.3,0.2
HOU,0.0,0.0,0.5,0.2
NO,0.0,0.2,0.2,0.1
JAX,0.2,0.0,0.2,0.1
ATL,0.1,0.0,0.2,0.1
LAR,0.1,0.0,0.2,0.1
DET,0.1,0.1,0.1,0.1
CHI,0.0,0.0,0.2,0.1
IND,0.0,0.0,0.2,0.1
WAS,0.0,0.0,0.1,0.0
NYJ,0.0,0.0,0.1,0.0
CAR,0.0,0.0,0.1,0.0
TEN,0.0,0.0,0.1,0.0
CLE,0.0,0.0,0.0,0.0
DAL,0.0,0.0,0.0,0.0
DEN,0.0,0.0,0.0,0.0
NYG,0.0,0.0,0.0,0.0
PIT,0.0,0.0,0.0,0.0
SF,0.0,0.0,0.0,0.0
