Team,YahooYahoo,OfficeFootballPoolOFP,Average
LAR,30.7,38.4,34.6
ATL,16.4,8.9,12.7
KC,15.7,3.8,9.8
SF,12.7,3.4,8.0
CIN,5.7,7.8,6.8
NO,2.0,8.0,5.0
GB,1.9,6.9,4.4
PHI,3.0,4.5,3.8
TEN,1.3,5.2,3.3
CLE,1.4,3.5,2.4
MIA,4.0,0.7,2.4
LV,1.5,1.5,1.5
DET,0.8,0.9,0.8
BAL,0.7,0.8,0.8
LAC,0.2,1.3,0.7
IND,0.7,0.6,0.7
HOU,0.1,1.0,0.6
MIN,0.1,0.5,0.3
TB,0.0,0.5,0.3
PIT,0.1,0.3,0.2
CAR,0.1,0.3,0.2
NE,0.0,0.3,0.2
CHI,0.1,0.2,0.2
JAX,0.0,0.3,0.2
DEN,0.2,0.1,0.1
NYJ,0.0,0.2,0.1
ARI,0.0,0.2,0.1
BUF,0.1,0.1,0.1
DAL,0.2,0.0,0.1
WAS,0.0,0.1,0.1
NYG,0.1,0.0,0.0
SEA,0.0,0.0,0.0
