Team,YahooYahoo,OfficeFootballPoolOFP,Average
PIT,22.0,30.6,26.3
PHI,23.7,19.8,21.7
TB,16.2,17.3,16.7
MIA,8.9,8.7,8.8
NO,10.8,6.4,8.6
MIN,4.0,5.3,4.6
TEN,5.2,2.9,4.1
CIN,3.5,3.7,3.6
SF,1.6,1.9,1.8
BUF,2.2,1.2,1.7
ARI,0.3,0.5,0.4
DET,0.4,0.2,0.3
KC,0.4,0.2,0.3
SEA,0.2,0.2,0.2
DAL,0.1,0.3,0.2
JAX,0.0,0.3,0.2
GB,0.1,0.1,0.1
CHI,0.2,0.0,0.1
NYG,0.0,0.1,0.1
NYJ,0.0,0.1,0.1
CLE,0.0,0.1,0.1
ATL,0.0,0.1,0.1
LAR,0.0,0.1,0.1
LAC,0.0,0.0,0.0
CAR,0.0,0.0,0.0
LV,0.0,0.0,0.0
WSH,0.0,0.0,0.0
IND,0.0,0.0,0.0
NE,0.0,0.0,0.0
BAL,0.0,0.0,0.0
DEN,0.0,0.0,0.0
HOU,0.0,0.0,0.0
