Team,YahooYahoo,OfficeFootballPoolOFP,Average
CIN,42.1,33.3,37.7
BUF,13.1,15.3,14.2
SEA,10.8,17.5,14.1
NO,10.5,8.3,9.4
CHI,3.4,3.7,3.5
TB,2.7,3.7,3.2
SF,2.9,2.8,2.9
MIA,2.8,2.7,2.7
ATL,1.6,2.4,2.0
DET,1.2,2.6,1.9
LAC,1.2,1.8,1.5
HOU,1.5,1.3,1.4
MIN,1.0,1.0,1.0
KC,1.2,0.6,0.9
PHI,0.9,0.5,0.7
NYG,0.4,0.8,0.6
DAL,0.6,0.3,0.5
CLE,0.1,0.3,0.2
PIT,0.3,0.1,0.2
BAL,0.3,0.1,0.2
LV,0.2,0.1,0.1
GB,0.2,0.1,0.1
TEN,0.2,0.1,0.1
DEN,0.1,0.1,0.1
NE,0.1,0.1,0.1
NYJ,0.1,0.1,0.1
WSH,0.1,0.1,0.1
IND,0.1,0.1,0.1
CAR,0.1,0.1,0.1
ARI,0.1,0.0,0.1
LAR,0.1,0.0,0.0
JAX,0.1,0.0,0.0
