Team,YahooYahoo,OfficeFootballPoolOFP,Average
GB,47.8,57.3,52.6
CHI,20.8,15.2,18.0
MIN,10.4,7.9,9.1
NE,6.5,6.1,6.3
SD,5.4,2.5,4.0
SF,3.0,2.6,2.8
DEN,1.4,2.8,2.1
PIT,1.0,1.3,1.2
TEN,0.7,1.4,1.1
NYJ,0.6,0.8,0.7
NYG,0.5,0.5,0.5
DET,0.3,0.4,0.3
OAK,0.4,0.2,0.3
KC,0.1,0.3,0.2
PHI,0.1,0.3,0.2
SEA,0.3,0.1,0.2
ATL,0.2,0.1,0.2
MIA,0.1,0.1,0.1
NO,0.1,0.0,0.1
WAS,0.1,0.0,0.0
IND,0.1,0.0,0.0
TB,0.0,0.0,0.0
CLE,0.0,0.0,0.0
DAL,0.0,0.0,0.0
CAR,0.0,0.0,0.0
ARI,0.0,0.0,0.0
JAX,0.0,0.0,0.0
STL,0.0,0.0,0.0
