Team,YahooYahoo,OfficeFootballPoolOFP,Average
DAL,13.8,21.6,17.7
BUF,19.7,15.0,17.3
SF,23.7,10.9,17.3
NE,10.6,7.8,9.2
BAL,6.1,11.5,8.8
NYJ,2.9,7.8,5.3
CHI,6.0,4.3,5.2
DEN,3.6,6.6,5.1
GB,3.9,4.7,4.3
CAR,3.8,2.5,3.1
DET,1.3,4.1,2.7
HOU,2.2,1.5,1.9
NYG,0.6,0.4,0.5
CIN,0.4,0.3,0.4
ATL,0.3,0.3,0.3
OAK,0.3,0.3,0.3
CLE,0.2,0.2,0.2
IND,0.2,0.1,0.1
WAS,0.1,0.1,0.1
SD,0.1,0.0,0.0
KC,0.0,0.0,0.0
ARI,0.0,0.0,0.0
NO,0.0,0.0,0.0
JAX,0.0,0.0,0.0
PIT,0.0,0.0,0.0
MIN,0.0,0.0,0.0
STL,0.0,0.0,0.0
MIA,0.0,0.0,0.0
PHI,0.0,0.0,0.0
SEA,0.0,0.0,0.0
TB,0.0,0.0,0.0
TEN,0.0,0.0,0.0
