Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
KC,36.3,24.2,22.5,27.7
CIN,15.2,19.8,18.7,17.9
LAC,19.5,12.0,12.7,14.7
PHI,10.0,15.3,14.6,13.3
MIN,6.0,12.7,9.6,9.4
CHI,2.7,2.6,2.6,2.6
BUF,1.4,2.5,2.7,2.2
BAL,2.0,1.7,2.3,2.0
CLE,0.9,2.7,1.9,1.9
SEA,0.8,0.9,2.9,1.5
LAR,0.7,1.4,1.3,1.1
LV,0.8,0.8,1.1,0.9
NO,0.9,0.6,1.0,0.8
NYG,0.6,0.6,0.7,0.6
SF,0.5,0.6,0.7,0.6
DAL,0.2,0.2,1.0,0.4
PIT,0.3,0.1,0.8,0.4
ATL,0.2,0.4,0.5,0.4
TB,0.4,0.3,0.5,0.4
HOU,0.1,0.2,0.4,0.2
TEN,0.1,0.1,0.3,0.2
DEN,0.1,0.1,0.2,0.1
CAR,0.1,0.1,0.2,0.1
GB,0.1,0.1,0.1,0.1
DET,0.1,0.0,0.1,0.1
NYJ,0.1,0.0,0.1,0.1
MIA,0.1,0.0,0.1,0.1
NE,0.0,0.0,0.1,0.0
JAX,0.0,0.0,0.1,0.0
WAS,0.0,0.0,0.1,0.0
IND,0.0,0.0,0.1,0.0
ARI,0.0,0.0,0.0,0.0
