Team,YahooYahoo,OfficeFootballPoolOFP,Average
TEN,25.9,28.5,27.2
MIN,27.4,19.4,23.4
KC,14.8,11.8,13.3
DET,6.9,9.7,8.3
BAL,2.8,4.7,3.7
NE,1.6,5.9,3.7
MIA,5.0,2.4,3.7
PHI,2.5,4.0,3.2
DAL,4.4,2.0,3.2
SF,3.5,2.1,2.8
PIT,1.5,2.4,2.0
DEN,0.9,1.9,1.4
LAR,0.8,1.3,1.0
IND,0.6,1.5,1.0
JAX,0.3,0.7,0.5
NO,0.3,0.3,0.3
CIN,0.1,0.3,0.2
HOU,0.2,0.2,0.2
NYG,0.2,0.1,0.2
ATL,0.1,0.2,0.1
CLE,0.1,0.1,0.1
TB,0.1,0.1,0.1
ARI,0.1,0.1,0.1
CHI,0.0,0.1,0.1
GB,0.1,0.0,0.0
BUF,0.0,0.0,0.0
LV,0.0,0.0,0.0
NYJ,0.0,0.0,0.0
LAC,0.0,0.0,0.0
SEA,0.0,0.0,0.0
CAR,0.0,0.0,0.0
WAS,0.0,0.0,0.0
