Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
GB,31.1,41.1,36.3,36.2
HOU,32.6,23.2,19.4,25.1
MIN,13.9,12.6,8.3,11.6
CLE,9.5,6.4,6.9,7.6
NYJ,1.4,3.6,8.5,4.5
PHI,2.7,1.7,3.6,2.7
PIT,2.3,1.5,1.9,1.9
TEN,1.7,1.8,1.1,1.5
ATL,0.6,2.0,1.4,1.3
NO,0.1,0.5,2.7,1.1
BAL,1.1,0.6,1.4,1.0
TB,0.5,1.1,1.0,0.9
SEA,0.8,0.6,0.6,0.6
DAL,0.4,0.4,0.7,0.5
CAR,0.2,0.2,1.0,0.5
OAK,0.0,0.0,1.0,0.3
ARI,0.0,0.5,0.5,0.3
LAC,0.1,0.2,0.7,0.3
IND,0.1,0.2,0.6,0.3
NE,0.3,0.2,0.3,0.3
CHI,0.2,0.2,0.4,0.3
LAR,0.0,0.1,0.4,0.2
MIA,0.1,0.2,0.2,0.2
JAX,0.1,0.2,0.2,0.2
NYG,0.0,0.3,0.1,0.1
CIN,0.0,0.1,0.2,0.1
KC,0.1,0.1,0.1,0.1
DET,0.0,0.1,0.1,0.1
DEN,0.0,0.0,0.2,0.1
SF,0.1,0.0,0.1,0.1
BUF,0.0,0.0,0.1,0.0
WAS,0.0,0.0,0.0,0.0
