Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
NO,43.4,36.4,24.4,34.7
HOU,13.2,15.8,13.8,14.3
SEA,8.3,11.6,14.9,11.6
JAX,5.9,11.2,7.3,8.2
LAR,10.4,7.0,6.4,7.9
PHI,5.6,6.0,7.9,6.5
BUF,6.0,3.8,5.3,5.0
ARI,2.3,1.1,3.8,2.4
OAK,2.0,1.9,3.2,2.4
TEN,0.8,2.4,2.5,1.9
NYG,0.1,0.3,4.0,1.4
DET,1.5,1.2,0.9,1.2
GB,0.1,0.2,1.9,0.7
DAL,0.1,0.2,0.9,0.4
KC,0.3,0.2,0.3,0.3
CIN,0.0,0.0,0.6,0.2
ATL,0.1,0.1,0.4,0.2
SF,0.1,0.2,0.2,0.2
NYJ,0.1,0.1,0.3,0.1
CAR,0.1,0.1,0.2,0.1
IND,0.1,0.1,0.2,0.1
BAL,0.1,0.0,0.2,0.1
DEN,0.0,0.0,0.3,0.1
TB,0.0,0.0,0.2,0.1
MIA,0.0,0.0,0.1,0.0
WAS,0.0,0.0,0.1,0.0
