Team,YahooYahoo,OfficeFootballPoolOFP,Average
SEA,53.8,49.8,51.8
SF,11.3,13.5,12.4
TB,7.9,13.6,10.8
IND,11.6,6.2,8.9
DEN,5.6,5.3,5.5
CLE,3.5,5.1,4.3
PIT,1.4,3.7,2.6
ATL,2.0,0.5,1.3
GB,1.0,0.6,0.8
NYG,0.2,0.3,0.3
NYJ,0.3,0.2,0.3
WAS,0.1,0.4,0.3
BUF,0.2,0.2,0.2
CHI,0.2,0.1,0.2
CIN,0.2,0.1,0.1
NE,0.1,0.1,0.1
BAL,0.2,0.0,0.1
STL,0.1,0.0,0.0
DAL,0.1,0.0,0.0
NO,0.1,0.0,0.0
HOU,0.0,0.0,0.0
MIN,0.0,0.0,0.0
SD,0.0,0.0,0.0
PHI,0.0,0.0,0.0
OAK,0.0,0.0,0.0
KC,0.0,0.0,0.0
DET,0.0,0.0,0.0
CAR,0.0,0.0,0.0
JAX,0.0,0.0,0.0
ARI,0.0,0.0,0.0
MIA,0.0,0.0,0.0
TEN,0.0,0.0,0.0
