Team,YahooYahoo,OfficeFootballPoolOFP,Average
HOU,34.4,30.2,32.3
SD,27.7,27.9,27.8
GB,6.4,11.3,8.8
DET,7.7,5.3,6.5
SEA,4.1,8.6,6.3
DEN,5.3,4.5,4.9
BAL,5.5,3.5,4.5
WAS,3.3,3.2,3.3
CHI,2.6,2.2,2.4
ATL,1.1,1.1,1.1
NO,0.6,0.7,0.6
NYG,0.4,0.4,0.4
OAK,0.1,0.4,0.3
MIA,0.2,0.2,0.2
TB,0.3,0.1,0.2
IND,0.2,0.1,0.1
PHI,0.1,0.0,0.0
DAL,0.1,0.0,0.0
CAR,0.0,0.0,0.0
MIN,0.0,0.0,0.0
KC,0.0,0.0,0.0
CIN,0.0,0.0,0.0
PIT,0.0,0.0,0.0
BUF,0.0,0.0,0.0
JAX,0.0,0.0,0.0
CLE,0.0,0.0,0.0
TEN,0.0,0.0,0.0
ARI,0.0,0.0,0.0
